epoch,training_loss,training_accuracy,validation_loss,validation_accuracy,model_name,batch_size,max_length,learning_rate,seed,trial_idx,run_idx
1,0.8217753094175587,0.535,0.7813846987988943,0.55608,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
2,0.6585576702719149,0.647,0.4424003132468904,0.79884,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
3,0.27646036889127756,0.88884,0.2156420387137119,0.91464,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
4,0.20457211646544354,0.91908,0.192460674654378,0.92332,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
5,0.18388085326899195,0.92616,0.1910113123819575,0.9246,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
6,0.16657273361311697,0.93408,0.18326644949100512,0.92912,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
7,0.14101322521181667,0.94524,0.20274592885542708,0.92564,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
8,0.10914668610886387,0.96112,0.21044568888023688,0.92544,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
9,0.0698340673504583,0.97676,0.2534905136955897,0.9212,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
10,0.041383602720735324,0.98692,0.2707673939483245,0.92132,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
11,0.02076302903235111,0.99412,0.3189152591263928,0.9212,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
12,0.01613282418483511,0.99568,0.37284403647798714,0.92024,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
13,0.009028761797701306,0.998,0.4075031087059728,0.921,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
14,0.007225066690188845,0.9984,0.45093860524370694,0.9208,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
15,0.01560122750775741,0.99424,0.4019317519481835,0.92228,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
16,0.01985107448971485,0.99316,0.38968481734166366,0.91564,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
17,0.012831069195590666,0.99624,0.4159352755998178,0.9232,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
18,0.0087820099871558,0.99772,0.4183518437339979,0.9198,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
19,0.0031100887509867966,0.99912,0.49849779668080685,0.92588,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
20,0.0005421026769425253,0.99996,0.4956327471834467,0.92392,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
21,0.00027813266514969606,1.0,0.563345261375465,0.92452,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
22,0.0001433363560672916,1.0,0.576015922095617,0.92408,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
23,0.00010102303207987715,1.0,0.595129095680078,0.92464,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
24,8.051179806747096e-05,1.0,0.6094538946838483,0.92456,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
25,6.617916285839228e-05,1.0,0.6187270363826124,0.92472,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
26,5.4948312966415035e-05,1.0,0.6326829526392396,0.92456,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
27,4.563759297818479e-05,1.0,0.6435798394739094,0.92448,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
28,3.922346722134544e-05,1.0,0.6513636646234928,0.92436,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
29,3.3359579227464587e-05,1.0,0.661982228607892,0.92428,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
30,2.9204718177885655e-05,1.0,0.6708339103509474,0.92412,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
31,2.5031225913016082e-05,1.0,0.6809973450058409,0.92412,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
32,2.1965716920240456e-05,1.0,0.6900176192202684,0.92408,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
33,1.938168026144852e-05,1.0,0.696850139962133,0.92428,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
34,1.7388268847904548e-05,1.0,0.7059569588393125,0.92412,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
35,2.6477238787409595e-05,1.0,0.7132261841250654,0.92432,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
36,1.5154361839184675e-05,1.0,0.7223000268516181,0.92456,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
37,1.2396498942923972e-05,1.0,0.73195743202077,0.92452,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
38,1.0789288660449445e-05,1.0,0.7414851114630242,0.92428,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
39,9.310881957373656e-06,1.0,0.7488703115574081,0.92432,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
40,8.459071940778162e-06,1.0,0.7565220943163804,0.92444,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
41,7.374212145805359e-06,1.0,0.7648591897200288,0.92448,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
42,6.566062340955905e-06,1.0,0.7729073013119456,0.92424,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
43,5.807298833451917e-06,1.0,0.7821215651595913,0.92428,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
44,5.08712685626486e-06,1.0,0.7909738297581368,0.92428,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
45,4.473082778398948e-06,1.0,0.7984854766427327,0.92424,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
46,4.064467976160367e-06,1.0,0.8050348435902535,0.9242,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
47,3.5741302134740687e-06,1.0,0.8133689882257558,0.92404,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
48,3.290846181647552e-06,1.0,0.8206002150073914,0.92412,Qwen/Qwen3-4B-Thinking-2507,32,128,0.0001,42,0,0
